1,山崎公園前,神奈川県足柄下郡箱根町山崎公園前,神奈川県足柄下郡箱根町湯本,35.235114,139.115824
2,箱根医院前,神奈川県足柄下郡箱根町箱根医院前,神奈川県足柄下郡箱根町湯本８１,35.236726,139.117391
3,○ 湯本地域スポーツ施設運動場,神奈川県足柄下郡箱根町湯本地域スポーツ施設運動場,神奈川県足柄下郡箱根町湯本,35.234539,139.11153
4,○ 神明町公園,神奈川県足柄下郡箱根町神明町公園,神奈川県足柄下郡箱根町湯本１９６,35.232775,139.111686
5,湯本幼児学園園庭,神奈川県足柄下郡箱根町湯本幼児学園園庭,神奈川県足柄下郡箱根町湯本392,35.230328,139.105549
6,小川福則氏駐車場,神奈川県足柄下郡箱根町小川福則氏駐車場,神奈川県足柄下郡箱根町湯本２１１−１,35.232958,139.109505
7,湯本富士屋ホテル庭,神奈川県足柄下郡箱根町湯本富士屋ホテル庭,神奈川県足柄下郡箱根町湯本２５６−１,35.232538,139.104976
8,コーポ和幸駐車場,神奈川県足柄下郡箱根町コーポ和幸駐車場,神奈川県足柄下郡箱根町湯本１８２,35.233093,139.113438
9,菊川儀長氏駐車場,神奈川県足柄下郡箱根町菊川儀長氏駐車場,神奈川県足柄下郡箱根町湯本 ,35.232684,139.108503
10,観光物産館前,神奈川県足柄下郡箱根町観光物産館前,神奈川県足柄下郡箱根町湯本７０３−１９ ,35.232071,139.102069
11,吉池旅館玄関前,神奈川県足柄下郡箱根町吉池旅館玄関前,神奈川県足柄下郡箱根町湯本５９７,35.23071,139.100028
12,金湯苑前,神奈川県足柄下郡箱根町金湯苑前,神奈川県足柄下郡箱根町湯本,35.228654,139.099713
13,元木村肉屋前駐車場,神奈川県足柄下郡箱根町元木村肉屋前駐車場,,,
14,吉池従業員宿舎前,神奈川県足柄下郡箱根町吉池従業員宿舎前,,,
15,早雲公園駐車場,神奈川県足柄下郡箱根町早雲公園駐車場,,,
16,○ 湯本小学校校庭,神奈川県足柄下郡箱根町湯本小学校校庭,神奈川県足柄下郡箱根町湯本３９９−２,35.230514,139.104813
17,箱根路開雲駐車場,神奈川県足柄下郡箱根町箱根路開雲駐車場,神奈川県足柄下郡箱根町湯本５２１−３,35.229237,139.09846
18,箱根パークス吉野駐車場,神奈川県足柄下郡箱根町箱根パークス吉野駐車場,神奈川県足柄下郡箱根町湯本茶屋１３９−５,35.229089,139.096066
19,天成園駐車場,神奈川県足柄下郡箱根町天成園駐車場,神奈川県足柄下郡箱根町湯本茶屋１２９,35.228942,139.095598
20,ホテル南風荘駐車場,神奈川県足柄下郡箱根町ホテル南風荘駐車場,神奈川県足柄下郡箱根町湯本茶屋１７９,35.225465,139.091297
21,ホテルおかだ駐車場,神奈川県足柄下郡箱根町ホテルおかだ駐車場,神奈川県足柄下郡箱根町湯本茶屋191,35.226101,139.092328
22,静観荘駐車場,神奈川県足柄下郡箱根町静観荘駐車場,神奈川県足柄下郡箱根町湯本茶屋１９,35.228246,139.096321
23,さるさわ駐車場,神奈川県足柄下郡箱根町さるさわ駐車場,神奈川県足柄下郡箱根町湯本茶屋８６−２,35.2255807,139.0961665
24,あまゆ荘前,神奈川県足柄下郡箱根町あまゆ荘前,神奈川県足柄下郡箱根町湯本茶屋３６,35.228183,139.097538
25,須雲川区民会館前,神奈川県足柄下郡箱根町須雲川区民会館前,,,
26,本陣前バス停留所前,神奈川県足柄下郡箱根町本陣前バス停留所前,神奈川県足柄下郡箱根町畑宿２２７,35.213261,139.063861
27,畑の茶屋前,神奈川県足柄下郡箱根町畑の茶屋前,神奈川県足柄下郡箱根町畑宿１７３,35.2117126,139.0625865
28,○ 畑宿寄木会館駐車場,神奈川県足柄下郡箱根町畑宿寄木会館駐車場,神奈川県足柄下郡箱根町畑宿１０３,35.213112,139.062844
29,○ 環翠楼駐車場,神奈川県足柄下郡箱根町環翠楼駐車場,神奈川県足柄下郡箱根町塔之澤８８,35.232742,139.092899
30,よきや駐車場,神奈川県足柄下郡箱根町よきや駐車場,神奈川県足柄下郡箱根町塔之澤８１,35.232946,139.093847
